Year,kms Driven,Fuel Type,Suspension,Price,Car Model
2019,14977,Petrol,Automatic,825000.0,Honda Amaze VX
2009,95980,Petrol,Manual,178000.0,Honda City 1.5
2009,44869,Petrol,Manual,250000.0,Honda City 1.5
2013,100085,Petrol,Manual,283000.0,Honda City E
2015,73948,Petrol,Manual,515000.00000000006,Honda City i
2012,80618,Petrol,Manual,285000.0,Honda Brio S
2010,85284,Petrol,Manual,325000.0,Honda City V
2018,29000,Petrol,Automatic,695000.0,Honda Jazz 1.2
2017,38000,Petrol,Manual,701000.0,Honda BR-V i-VTEC
2017,41000,Petrol,Automatic,750000.0,Honda City i-VTEC
2014,44688,Petrol,Manual,450000.0,Honda Amaze S
2014,29000,Petrol,Manual,425000.0,Honda Amaze SX
2017,51000,Petrol,Automatic,899000.0,Honda City i-VTEC
2016,61248,Petrol,Manual,375000.0,Honda Amaze SX
2017,63000,Petrol,Automatic,865000.0,Honda City i-VTEC
2014,56000,Petrol,Manual,515000.00000000006,Honda City i
2017,54184,Petrol,Manual,600000.0,Honda City i-VTEC
2015,26000,Petrol,Automatic,495000.0,Honda Amaze VX
2019,11000,Petrol,Automatic,745000.0,Honda Amaze S
2017,36000,Petrol,Manual,745000.0,Honda Jazz 1.2
2012,36000,Petrol,Automatic,475000.0,Honda City V
2017,39000,Petrol,Manual,725000.0,Honda City i
2016,41000,Petrol,Manual,625000.0,Honda City i
2016,37000,Petrol,Automatic,795000.0,Honda City i
2017,17000,Petrol,Manual,645000.0,Honda WR-V i-VTEC
2015,59000,Petrol,Manual,685000.0,Honda City V
2011,53418,Petrol,Manual,312000.0,Honda City 1.5
2012,8000,Petrol,Manual,285000.0,Honda Brio S
2014,110697,Diesel,Manual,404000.0,Honda City i
2013,26000,Petrol,Automatic,450000.0,Honda Amaze VX
2019,54000,Diesel,Manual,990000.0,Honda City i-DTEC
2012,48000,Petrol,Manual,275000.0,Honda Brio S
2008,131990,Petrol,Manual,151000.0,Honda City 1.5
2015,52932,Petrol,Manual,565000.0,Honda City i
2014,71481,Diesel,Manual,275000.0,Honda Amaze S
2015,110586,Diesel,Manual,540000.0,Honda City i
2010,61000,Petrol,Automatic,311000.0,Honda Civic 1.8
2021,22111,Petrol,Manual,900000.0,Honda City SV
2014,25900,Petrol,Manual,421000.0,Honda Amaze VX
2013,72071,Diesel,Manual,450000.0,Honda Amaze S
2014,87401,Petrol,Manual,310000.0,Honda Amaze S
2012,62000,Petrol,Manual,350000.0,Honda City S
2014,141088,Diesel,Manual,400000.0,Honda Amaze S
2011,52500,Petrol,Manual,409000.0,Honda City 1.5
2022,10885,Petrol,Automatic,956000.0,Honda Amaze VX
2018,80286,Diesel,Manual,670000.0,Honda WR-V i-DTEC
2014,55688,Petrol,Manual,380000.0,Honda Amaze E
